time,Theta_set,Theta_input
1255,40,87.28
1256,40,87.27
1257,40,87.27
1258,40,87.27
1259,40,87.28
1260,40,87.27
1261,40,87.28
1262,40,87.28
1263,40,87.27
1264,40,87.28
1265,40,87.28
1266,40,87.27
1267,40,87.28
1268,40,87.28
1269,40,87.27
1270,40,87.28
1271,40,87.27
1272,40,87.28
1273,40,87.28
1274,40,87.27
1275,40,87.28
1276,40,87.27
1277,40,87.27
1278,40,87.28
1279,40,87.27
1280,40,87.27
1281,40,87.27
1282,40,87.27
1283,40,87.27
1284,40,87.27
1285,40,87.27
1286,40,87.26
1287,40,87.27
1288,40,87.26
1289,40,87.26
1290,40,87.27
1291,40,87.26
1292,40,87.26
1293,40,87.26
1294,40,87.26
1295,40,87.26
1296,40,87.25
1297,40,87.25
1298,40,87.26
1299,40,87.25
1300,40,87.26
1301,40,87.26
1302,40,87.25
1303,40,87.26
1304,45,87.26
1305,45,87.25
1306,45,87.26
1307,45,87.26
1308,45,87.27
1309,45,87.26
1310,45,87.27
1311,45,87.26
1312,45,87.26
1313,45,87.26
1314,45,87.26
1315,45,87.26
1316,45,87.27
1317,45,87.26
1318,45,87.26
1319,45,87.26
1320,45,87.26
1321,45,87.27
1322,45,87.26
1323,45,87.26
1324,45,87.27
1325,45,87.27
1326,45,87.26
1327,45,87.27
1328,45,87.26
1329,45,87.27
1330,45,87.27
1331,45,87.26
1332,45,87.26
1333,45,87.27
1334,45,87.26
1335,45,87.27
1336,45,87.26
1337,45,87.26
1338,45,87.26
1339,45,87.26
1340,45,87.27
1341,45,87.26
1342,45,87.26
1343,45,87.26
1344,45,87.27
1345,45,87.26
1346,45,87.27
1347,45,87.26
1348,45,87.26
1349,45,87.26
1350,45,87.26
1351,45,87.26
1352,45,87.26
1353,45,87.26
1354,45,87.26
1355,45,87.26
1356,45,87.26
1357,45,87.26
1358,45,87.27
1359,45,87.26
1360,45,87.27
1361,45,87.26
1362,45,87.26
1363,45,87.26
1364,45,87.27
1365,45,87.26
1366,45,87.27
1367,45,87.26
1368,45,87.26
1369,45,87.27
1370,45,87.26
1371,45,87.27
1372,45,87.27
1373,45,87.27
1374,45,87.26
1375,45,87.27
1376,45,87.28
1377,45,87.27
1378,45,87.27
1379,45,87.27
1380,45,87.27
1381,45,87.27
1382,45,87.26
1383,45,87.27
1384,45,87.27
1385,45,87.26
1386,45,87.26
1387,45,87.27
1388,45,87.26
1389,45,87.26
1390,45,87.27
1391,45,87.22
1392,45,87.16
1393,45,87.13
1394,45,87.07
1395,45,87.03
1396,45,86.98
1397,45,86.94
1398,45,86.9
1399,45,86.85
1400,45,86.81
1401,45,86.76
1402,45,86.72
1403,45,86.68
1404,45,86.63
1405,45,86.58
1406,40,86.55
1407,40,86.51
1408,40,86.47
1409,40,86.42
1410,40,86.38
1411,40,86.34
1412,40,86.3
1413,40,86.26
1414,40,86.22
1415,40,86.18
1416,40,86.14
1417,40,86.11
1418,40,86.08
1419,40,86.04
1420,40,86.01
1421,40,85.97
1422,40,85.93
1423,40,85.9
1424,40,85.87
1425,40,85.83
1426,40,85.8
1427,40,85.76
1428,40,85.73
1429,40,85.7
1430,40,85.67
1431,40,85.63
1432,40,85.6
1433,40,85.58
1434,40,85.55
1435,40,85.51
1436,40,85.48
1437,40,85.45
1438,40,85.43
1439,40,85.4
1440,40,85.37
1441,40,85.33
1442,40,85.3
1443,40,85.28
1444,40,85.25
1445,40,85.22
1446,40,85.19
1447,40,85.17
1448,40,85.14
1449,40,85.11
1450,40,85.08
1451,40,85.06
1452,40,85.03
1453,40,85
1454,40,84.97
1455,40,84.96
1456,40,84.94
1457,40,84.91
1458,40,84.89
1459,40,84.86
1460,40,84.84
1461,40,84.81
1462,40,84.79
1463,40,84.76
1464,40,84.74
1465,40,84.73
1466,40,84.7
1467,40,84.68
1468,40,84.66
1469,40,84.64
1470,40,84.61
1471,40,84.59
1472,40,84.57
1473,40,84.56
1474,40,84.54
1475,40,84.52
1476,40,84.5
1477,40,84.48
1478,40,84.46
1479,40,84.44
1480,40,84.42
1481,40,84.4
1482,40,84.39
1483,40,84.37
1484,40,84.36
1485,40,84.33
1486,40,84.32
1487,40,84.3
1488,40,84.28
1489,40,84.26
1490,40,84.26
1491,40,84.24
1492,40,84.22
1493,40,84.21
1494,40,84.19
1495,40,84.17
1496,40,84.16
1497,40,84.14
1498,40,84.13
1499,40,84.1
1500,40,84.09
1501,40,84.08
1502,40,84.06
1503,40,84.05
1504,40,84.03
1505,40,84.02
1506,40,84
1507,40,83.99
1508,40,83.98
1509,40,83.96
1510,40,83.95
1511,40,83.94
1512,40,83.92
1513,40,83.91
1514,40,83.9
1515,40,83.88
1516,40,83.87
1517,40,83.86
1518,40,83.85
1519,40,83.84
1520,40,83.83
1521,40,83.82
1522,40,83.81
1523,40,83.8
1524,40,83.78
1525,40,83.78
1526,40,83.76
1527,40,83.75
1528,40,83.74
1529,40,83.73
1530,40,83.72
1531,40,83.71
1532,40,83.7
1533,40,83.68
1534,40,83.67
1535,40,83.66
1536,40,83.65
1537,40,83.65
1538,40,83.65
1539,40,83.64
1540,40,83.63
1541,40,83.62
1542,40,83.6
1543,40,83.6
1544,40,83.59
1545,40,83.58
1546,40,83.57
1547,40,83.56
1548,40,83.55
1549,40,83.54
1550,40,83.54
1551,40,83.53
1552,40,83.52
1553,40,83.51
1554,40,83.5
1555,40,83.5
1556,45,83.48
1557,45,83.48
1558,45,83.47
1559,45,83.46
1560,45,83.45
1561,45,83.44
1562,45,83.44
1563,45,83.43
1564,45,83.43
1565,45,83.43
1566,45,83.41
1567,45,83.4
1568,45,83.4
1569,45,83.39
1570,45,83.4
1571,45,83.38
1572,45,83.38
1573,45,83.37
1574,45,83.37
1575,45,83.36
1576,45,83.35
1577,45,83.35
1578,45,83.34
1579,45,83.33
1580,45,83.33
1581,45,83.32
1582,45,83.31
1583,45,83.31
1584,45,83.3
1585,45,83.29
1586,45,83.29
1587,45,83.28
1588,45,83.28
1589,45,83.27
1590,45,83.27
1591,45,83.26
1592,45,83.26
1593,45,83.25
1594,45,83.25
1595,45,83.24
1596,45,83.24
1597,45,83.24
1598,45,83.23
1599,45,83.22
1600,45,83.21
1601,45,83.21
1602,45,83.2
1603,45,83.19
1604,45,83.18
1605,45,83.18
1606,45,83.19
1607,45,83.17
1608,45,83.17
1609,45,83.17
1610,45,83.16
1611,45,83.15
1612,45,83.15
1613,45,83.15
1614,45,83.14
1615,45,83.14
1616,45,83.13
1617,45,83.13
1618,45,83.13
1619,45,83.13
1620,45,83.14
1621,45,83.13
1622,45,83.12
1623,45,83.12
1624,45,83.12
1625,45,83.11
1626,45,83.11
1627,45,83.11
1628,45,83.11
1629,45,83.1
1630,45,83.1
1631,45,83.09
1632,45,83.09
1633,45,83.09
1634,45,83.09
1635,45,83.09
1636,45,83.09
1637,45,83.09
1638,45,83.08
1639,45,83.08
1640,45,83.08
1641,45,83.08
1642,45,83.07
1643,45,83.07
1644,45,83.05
1645,45,83.05
1646,45,83.05
1647,45,83.06
1648,45,83.04
1649,45,83.04
1650,45,83.04
1651,45,83.04
1652,45,83.04
1653,45,83.04
1654,45,83.03
1655,45,83.03
1656,45,83.04
1657,45,83.04
1658,40,83.04
1659,40,83.03
1660,40,83.03
1661,40,83.03
1662,40,83.02
1663,40,83.02
1664,40,83.02
1665,40,83.03
1666,40,83.03
1667,40,83.02
1668,40,83.02
1669,40,83.02
1670,40,83.02
1671,40,83.01
1672,40,83.01
1673,40,83.01
1674,40,83.01
1675,40,83
1676,40,83
1677,40,83
1678,40,83
1679,40,83
1680,40,83
1681,40,83
1682,40,82.99
1683,40,82.99
1684,40,82.99
1685,40,83
1686,40,83
1687,40,83
1688,40,82.99
1689,40,82.99
1690,40,82.99
1691,40,82.99
1692,40,82.99
1693,40,82.99
1694,40,82.99
1695,40,82.99
1696,40,82.99
1697,40,82.98
1698,40,82.98
1699,40,82.98
1700,40,82.98
1701,40,82.98
1702,40,82.98
1703,40,82.98
1704,40,82.97
1705,40,82.97
1706,40,82.97
1707,40,82.97
1708,40,82.97
1709,40,82.96
1710,40,82.96
1711,40,82.96
1712,40,82.96
1713,40,82.96
1714,40,82.96
1715,40,82.96
1716,40,82.96
1717,40,82.96
1718,40,82.95
1719,40,82.95
1720,40,82.95
1721,40,82.95
1722,40,82.95
1723,40,82.95
1724,40,82.95
1725,40,82.94
1726,40,82.94
1727,40,82.94
1728,40,82.94
1729,40,82.94
1730,40,82.93
1731,40,82.93
1732,40,82.94
1733,40,82.94
1734,40,82.94
1735,40,82.94
1736,40,82.94
1737,40,82.94
1738,40,82.93
1739,40,82.93
1740,40,82.93
1741,40,82.93
1742,40,82.93
1743,40,82.94
1744,40,82.94
1745,40,82.93
1746,40,82.93
1747,40,82.93
1748,40,82.93
1749,40,82.93
1750,40,82.93
1751,40,82.92
1752,40,82.92
1753,40,82.92
1754,40,82.92
1755,40,82.92
1756,40,82.92
1757,40,82.91
1758,40,82.91
1759,40,82.91
1760,40,82.91
1761,40,82.91
1762,40,82.91
1763,40,82.9
1764,40,82.9
1765,40,82.9
1766,40,82.9
1767,40,82.9
1768,40,82.9
1769,40,82.9
1770,40,82.9
1771,40,82.9
1772,40,82.9
1773,40,82.9
1774,40,82.9
1775,40,82.9
1776,40,82.9
1777,40,82.91
1778,40,82.91
1779,40,82.91
1780,40,82.91
1781,40,82.91
1782,40,82.91
1783,40,82.91
1784,40,82.9
1785,40,82.9
1786,40,82.9
1787,40,82.9
1788,40,82.9
1789,40,82.9
1790,40,82.9
1791,40,82.9
1792,40,82.9
1793,40,82.9
1794,40,82.9
1795,40,82.9
1796,40,82.9
1797,40,82.9
1798,40,82.9
1799,40,82.89
1800,40,82.89
1801,40,82.89
1802,40,82.88
1803,40,82.88
1804,40,82.88
1805,40,82.88
1806,40,82.88
1807,40,82.88
1808,40,82.88
1809,45,82.88
1810,45,82.87
1811,45,82.87
1812,45,82.87
1813,45,82.87
1814,45,82.87
1815,45,82.87
1816,45,82.87
1817,45,82.87
1818,45,82.87
1819,45,82.87
1820,45,82.87
1821,45,82.87
1822,45,82.87
1823,45,82.87
1824,45,82.87
1825,45,82.87
1826,45,82.87
1827,45,82.87
1828,45,82.87
1829,45,82.87
1830,45,82.88
1831,45,82.88
1832,45,82.88
1833,45,82.88
1834,45,82.88
1835,45,82.88
1836,45,82.88
1837,45,82.88
1838,45,82.88
1839,45,82.88
1840,45,82.88
1841,45,82.88
1842,45,82.88
1843,45,82.88
1844,45,82.88
1845,45,82.88
1846,45,82.88
1847,45,82.88
1848,45,82.88
1849,45,82.88
1850,45,82.88
1851,45,82.88
1852,45,82.88
1853,45,82.88
1854,45,82.88
1855,45,82.87
1856,45,82.87
1857,45,82.87
1858,45,82.87
1859,45,82.87
1860,45,82.87
1861,45,82.87
1862,45,82.87
1863,45,82.87
1864,45,82.87
1865,45,82.89
1866,45,82.89
1867,45,82.89
1868,45,82.89
1869,45,82.89
1870,45,82.89
1871,45,82.89
1872,45,82.89
1873,45,82.89
1874,45,82.89
1875,45,82.89
1876,45,82.88
1877,45,82.89
1878,45,82.88
1879,45,82.88
1880,45,82.88
1881,45,82.88
1882,45,82.88
1883,45,82.88
1884,45,82.88
1885,45,82.88
1886,45,82.88
1887,45,82.88
1888,45,82.87
1889,45,82.87
1890,45,82.87
1891,45,82.88
1892,45,82.88
1893,45,82.88
1894,45,82.88
1895,45,82.89
1896,45,82.88
1897,45,82.89
1898,45,82.89
1899,45,82.89
1900,45,82.89
1901,45,82.89
1902,45,82.89
1903,45,82.89
1904,45,82.89
1905,45,82.89
1906,45,82.89
1907,45,82.89
1908,45,82.89
1909,40,82.89
1910,40,82.89
1911,40,82.89
1912,40,82.89
1913,40,82.89
1914,40,82.89
1915,40,82.9
1916,40,82.88
1917,40,82.88
1918,40,82.88
1919,40,82.88
1920,40,82.88
1921,40,82.88
1922,40,82.88
1923,40,82.88
1924,40,82.88
1925,40,82.87
1926,40,82.87
1927,40,82.87
1928,40,82.87
1929,40,82.87
1930,40,82.88
1931,40,82.87
1932,40,82.88
1933,40,82.88
1934,40,82.88
1935,40,82.87
1936,40,82.87
1937,40,82.87
1938,40,82.87
1939,40,82.87
1940,40,82.87
1941,40,82.87
1942,40,82.87
1943,40,82.87
1944,40,82.87
1945,40,82.87
1946,40,82.87
1947,40,82.87
1948,40,82.86
1949,40,82.86
1950,40,82.86
1951,40,82.87
1952,40,82.87
1953,40,82.87
1954,40,82.87
1955,40,82.86
1956,40,82.87
1957,40,82.87
1958,40,82.87
1959,40,82.87
1960,40,82.87
1961,40,82.87
1962,40,82.87
1963,40,82.87
1964,40,82.87
1965,40,82.86
1966,40,82.86
1967,40,82.86
1968,40,82.86
1969,40,82.86
1970,40,82.86
1971,40,82.86
1972,40,82.86
1973,40,82.86
1974,40,82.86
1975,40,82.85
1976,40,82.85
1977,40,82.86
1978,40,82.86
1979,40,82.86
1980,40,82.86
1981,40,82.86
1982,40,82.86
1983,40,82.86
1984,40,82.86
1985,40,82.86
1986,40,82.86
1987,40,82.86
1988,40,82.86
1989,40,82.86
1990,40,82.86
