ime,Theta_set,Theta_input
1132,45,43.76
1133,45,43.7
1134,45,43.65
1135,45,43.61
1136,45,43.57
1137,45,43.53
1138,45,43.5
1139,45,43.45
1140,45,43.41
1141,45,43.36
1142,45,43.3
1143,45,43.24
1144,45,43.19
1145,45,43.14
1146,45,43.09
1147,45,43.07
1148,45,43.05
1149,45,43.05
1150,45,43.05
1151,45,43.06
1152,45,43.07
1153,40,43.08
1154,40,43.07
1155,40,42.84
1156,40,42.42
1157,40,42
1158,40,41.64
1159,40,41.41
1160,40,41.35
1161,40,41.43
1162,40,41.56
1163,40,41.74
1164,40,41.91
1165,40,42.03
1166,40,42.1
1167,40,42.11
1168,40,42.09
1169,40,42.11
1170,40,42.12
1171,40,41.95
1172,40,41.56
1173,40,41.13
1174,40,40.73
1175,40,40.28
1176,40,39.87
1177,40,39.61
1178,40,39.51
1179,40,39.56
1180,40,39.66
1181,40,39.81
1182,40,39.98
1183,40,40.17
1184,40,40.37
1185,40,40.57
1186,40,40.71
1187,40,40.77
1188,40,40.77
1189,40,40.78
1190,40,40.79
1191,40,40.84
1192,40,40.94
1193,40,41.09
1194,40,41.16
1195,40,40.94
1196,40,40.51
1197,40,40.06
1198,40,39.61
1199,40,39.22
1200,40,39.05
1201,40,39
1202,40,39.06
1203,40,39.16
1204,40,39.29
1205,40,39.42
1206,40,39.63
1207,40,39.83
1208,40,39.98
1209,40,40.11
1210,40,40.2
1211,40,40.22
1212,40,40.21
1213,40,40.21
1214,40,40.26
1215,40,40.35
1216,40,40.47
1217,40,40.62
1218,40,40.79
1219,40,40.88
1220,40,40.68
1221,40,40.25
1222,40,39.81
1223,40,39.55
1224,40,39.52
1225,40,39.65
1226,40,39.87
1227,40,40.15
1228,40,40.41
1229,40,40.61
1230,40,40.67
1231,40,40.63
1232,40,40.5
1233,40,40.3
1234,40,40.18
1235,40,40.25
1236,40,40.43
1237,40,40.62
1238,40,40.78
1239,40,40.86
1240,40,40.65
1241,40,40.41
1242,40,40.39
1243,40,40.59
1244,40,40.88
1245,40,41.12
1246,40,41.18
1247,40,40.92
1248,40,40.6
1249,40,40.41
1250,40,40.29
1251,40,40.3
1252,40,40.44
1253,40,40.66
1254,40,40.63
1255,40,40.4
1256,40,40.14
1257,40,39.78
1258,40,39.49
1259,40,39.38
1260,40,39.43
1261,40,39.59
1262,40,39.82
1263,40,40.14
1264,40,40.42
1265,40,40.61
1266,40,40.58
1267,40,40.23
1268,40,39.73
1269,40,39.32
1270,40,39.14
1271,40,39.19
1272,40,39.42
1273,40,39.79
1274,40,40.17
1275,40,40.53
1276,40,40.8
1277,40,40.87
1278,40,40.75
1279,40,40.41
1280,40,39.94
1281,40,39.45
